method,wealth_mean,wealth_sem,sharpe_mean,sharpe_ci95,sortino_mean,mdd_mean,turnover_mean
Static Merton Allocation,1.0408603213998142,0.0037887370476464293,2.7651499994351223,0.4987882289846871,5.143918835341188,1.3995548332680723,0.0
Kim & Omberg (1996) Analytical,1.0416299653378582,0.00458728175012669,3.35009499621416,0.5153859744677949,6.186814969356825,1.663091958718581,8.173412853070698
Standard Model-Free PPO,1.0387554450625036,3.6973008678151574e-05,2.6807759915844582,0.0062006124047955125,4.944539479306148,1.5079460680464072,0.21682606009021402
Standard PG-DPO (Huh et al. 2024),1.0388313334367572,3.474570986281241e-05,3.160307314121122,0.004125385427702634,5.859893987298189,1.7600162111262116,8.927716242835423
E-PGDPO (Ours),1.0440990479316221,0.0001502102973574221,3.010916369724721,0.010732488889299873,5.622570017174084,2.160405730344021,9.251570515979568
